AGENT_TYPE,MO_TYPE,KEYWORD
'01','WEBLOGIC_DOMAIN',INSTANCE
'02','APUSIC_APP',INSTANCE
'ASM','ASM_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'DG','ORACLE_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'ESX','ESX_HOST',AGENT_HOST
'GB','DOMINO_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'IS','ITM_INTERNAL',IP_ADDRESS
'KHTA','APACHE_AGENT',IP_ADDRESS
'KHTP','APACHE',"concat(IP_ADDRESS,':',INSTANCE)"
'KT3A','ITM_INTERNAL',IP_ADDRESS
'KT3S','ITM_INTERNAL',IP_ADDRESS
'KUL','UNIX_LOG',IP_ADDRESS
'KUX','AIX_OS',IP_ADDRESS
'KYJA','ITM_INTERNAL',IP_ADDRESS
'KYJW','ITM_INTERNAL',IP_ADDRESS
'LZ','LINUX_OS',IP_ADDRESS
'M01_TUXEDO00','TUXEDO_HOST',IP_ADDRESS
'M02_GOLDENGATEEXT00','OGG_HOST',IP_ADDRESS
'M03_APPMONEXT00','APP_MON_STD',IP_ADDRESS
'MQ','MQ_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'MS','MSSQL',IP_ADDRESS
'MSS','MSSQL',IP_ADDRESS
'N07_EBPP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N08_FDS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N09_EBMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N10_FDS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N11_EBIPAPP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N14_EBIPDB00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N15_FCS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N17_NMBFE00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N18_MFT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N19_EBIPCOM00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N22_EBIS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N25_AIXEXT00','AIX_OS',IP_ADDRESS
'N26_OAS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N27_SEBS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N28_EPAMS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N29_APPLOG00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N30_URLMONITOR00','ITM_INTERNAL',IP_ADDRESS
'N31_JCDC00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N32_GTS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N35_ATMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N36_ATMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N37_MSMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N38_OTP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N39_TPOS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N40_TPOS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N41_TPOS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N42_EBPPAPP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N43_EBIC00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N44_GITS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N45_GITS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N46_IFTS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N50_EBMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N51_EBMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N52_CPM00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N53_BOP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N54_ARCHIVE00','ORACLE_HOST',IP_ADDRESS
'N55_EBIP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N57_COBPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N58_COBPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N59_COBPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N60_COBPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N63_SWIFT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N64_STQD00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N65_CAFCS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N68_IFT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N71_EMC00','EMC_MON',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N73_EMC00','EMC_MON',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N74_IFT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N75_GOLDENGATEEXT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N76_EBIS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N77_IBCARMS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N78_ATMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N79_PCS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N80_IFT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N81_CCSS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N82_CCSS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N83_OTP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N84_OEBIP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N86_ACS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N87_CCSP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N89_SUMMIT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N90_IFTPRC00','IFT_HOST',IP_ADDRESS
'N92_OFTS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N93_IBS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N94_NBU00','NBU_SERVICE',IP_ADDRESS
'N95_EBPP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N96_ROBOT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'N97_F500','F5_POOL',IP_ADDRESS
'N98_ORACLEASM00','ORACLE_ASM_HOST',IP_ADDRESS
'N99_LINUXEXT00','LINUX_OS',IP_ADDRESS
'NO','ITM_INTERNAL',IP_ADDRESS
'NT','WINDOWS_OS',IP_ADDRESS
'P01_HKNBANK00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P02_NMBFE00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P03_ATMP02','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P04_PBMONEXT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P05_IBMS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P06_EBMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P07_LDPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P08_EBCFP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P09_EMC00','EMC_MON',IP_ADDRESS
'P10_COBPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P11_TPOS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P12_EBMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P13_CHECKPROCESS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P14_REUTERS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P15_CIPS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P16_EBIS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P17_OCDSM00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P18_MYSQLEXT00','MYSQL_HOST',IP_ADDRESS
'P19_ATMP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P21_YAOYAO00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P22_EBIP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P24_OFICHECK00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P25_BOP00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P26_GOLD_TRADE00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P28_OIBS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P29_CHECK_FILE00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P30_NAVI00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P31_ECACHECK00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P32_ALM_CHECK00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P33_CCSS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P34_EBIS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P35_KINGBASE00','KINGBASE_INSTANCE',IP_ADDRESS
'P36_CALMS00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P37_SUMMIT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P38_WINEXT00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'P39_JAVAMON00','JAVA_APP',IP_ADDRESS
'P40_VCSEXT00','VCS_HOST',IP_ADDRESS
'P42_NASDISK00','NAS_HOST',IP_ADDRESS
'P43_GOLD00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'PA','ITM_INTERNAL',IP_ADDRESS
'R01INFOSEC00','SSL',IP_ADDRESS
'R16_AIX00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R23CHECK_MONITOR00','WEBLOGIC_HOST',IP_ADDRESS
'R25IBMGC00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R26_PID00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R31CCAPPL00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R34WYAPPL00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R35GTSCONN01','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R43ACESSLOG00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R53GDSERVERDAILY00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'R54EDW00','APP_MON_CUSTOM',"concat(IP_ADDRESS,':',AGENT_TYPE)"
'RDB','ORACLE_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'RZ','ORACLE_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'SNMP-MANAGER00','ITM_INTERNAL',IP_ADDRESS
'SY','ITM_INTERNAL',IP_ADDRESS
'T3','ITM_INTERNAL',IP_ADDRESS
'T5','ITM_INTERNAL',IP_ADDRESS
'TEPS','ITM_INTERNAL',IP_ADDRESS
'UA','ITM_INTERNAL',IP_ADDRESS
'UAGENT00','ITM_INTERNAL',IP_ADDRESS
'UD','DB2_INSTANCE',"concat(IP_ADDRESS,':',INSTANCE)"
'VM','VCENTER',"concat(IP_ADDRESS,':',INSTANCE)"
'Warehouse','ITM_INTERNAL',IP_ADDRESS
